tweet_id,user,user_id,created_at,text,geo,coordinates,scraped_at
176030686938005504,gitmo62,365112822,"2012-03-03 19:46:00+00:00","RT @JimMerrillNH: Santorum yelling at radio hosts and fussing about delegates, is feeling the pressure.  Hardly a way to convince voters he can defeat Obama.",None,null,"2012-03-06 01:20:04.126332"
176030771805564929,Carolde,22936237,"2012-03-03 19:46:21+00:00","RT @JimMerrillNH: I grew up in Penna.  We know Rick Santorum.  The same 'conservative' who twice joined the Specter team has now joined Michael Moore's.",None,null,"2012-03-06 01:20:04.125482"
176031935401963520,JJsassypants,72717549,"2012-03-03 19:50:58+00:00","RT @JimMerrillNH: I grew up in Penna.  We know Rick Santorum.  The same 'conservative' who twice joined the Specter team has now joined Michael Moore's.",None,null,"2012-03-06 01:20:04.124623"
176032346062061568,lds_southerner,256849372,"2012-03-03 19:52:36+00:00","RT @JimMerrillNH: I grew up in Penna.  We know Rick Santorum.  The same 'conservative' who twice joined the Specter team has now joined Michael Moore's.",None,null,"2012-03-06 01:20:04.123805"
176032658684522498,lds_southerner,256849372,"2012-03-03 19:53:51+00:00","RT @JimMerrillNH: Santorum yelling at radio hosts and fussing about delegates, is feeling the pressure.  Hardly a way to convince voters he can defeat Obama.",None,null,"2012-03-06 01:20:04.123028"
176033898822762496,corep4u,190877764,"2012-03-03 19:58:46+00:00","RT @JimMerrillNH: Santorum yelling at radio hosts and fussing about delegates, is feeling the pressure.  Hardly a way to convince voters he can defeat Obama.",None,null,"2012-03-06 01:20:04.121842"
176034238502674432,MittsRace,477227380,"2012-03-03 20:00:07+00:00","RT @JimMerrillNH: Santorum yelling at radio hosts and fussing about delegates, is feeling the pressure.  Hardly a way to convince voters he can defeat Obama.",None,null,"2012-03-06 01:20:04.121071"
176034313387782144,Britons4Mittens,481435127,"2012-03-03 20:00:25+00:00","RT @JimMerrillNH: Rick Santorum once again demonstrating - to his detriment - that organization matters. http://t.co/eyRlse2i",None,null,"2012-03-06 01:20:04.120297"
176035047072219138,stjohnswoods,104240343,"2012-03-03 20:03:20+00:00","RT @JimMerrillNH: Santorum yelling at radio hosts and fussing about delegates, is feeling the pressure.  Hardly a way to convince voters he can defeat Obama.",None,null,"2012-03-06 01:20:04.119521"
176035969747791872,Ironman1776,459727193,"2012-03-03 20:07:00+00:00","RT @JimMerrillNH: Santorum yelling at radio hosts and fussing about delegates, is feeling the pressure.  Hardly a way to convince voters he can defeat Obama.",None,null,"2012-03-06 01:20:04.118745"
176037104105701376,txchick4mitt,474533142,"2012-03-03 20:11:30+00:00","RT @JimMerrillNH: Santorum yelling at radio hosts and fussing about delegates, is feeling the pressure.  Hardly a way to convince voters he can defeat Obama.",None,null,"2012-03-06 01:20:04.117786"
176041147083407362,hereistheanswer,139768199,"2012-03-03 20:27:34+00:00","RT @JimMerrillNH: Santorum yelling at radio hosts and fussing about delegates, is feeling the pressure.  Hardly a way to convince voters he can defeat Obama.",None,null,"2012-03-06 01:20:04.117006"
176041591683809280,k_9limo,25830395,"2012-03-03 20:29:20+00:00","Santorum backs nullifying existing gay marriages http://t.co/7gsAsvBT via @sfgate",None,null,"2012-03-06 01:20:04.116235"
176044673289297921,TomLavinNH,338665228,"2012-03-03 20:41:35+00:00","Amazingly, recent polling seem to show some movement towards #Gingrich and away from #Santorum. I'm beginning to wonder if Newt IS Lazarus.",None,null,"2012-03-06 01:20:04.115461"
176049335681810432,iSelfHealth,293089613,"2012-03-03 21:00:07+00:00","Santorum hits Romney for 2009 health care op-ed - CBS News http://t.co/5BevPEMP",None,null,"2012-03-06 01:20:04.114694"
176089226268508161,MarlaMayes,415210048,"2012-03-03 23:38:37+00:00","RT @driggio: Rick Santorum seems to want Americans dumb and women as property. http://t.co/9ay2oVcV #rick #santorum #ricksantorum …http://t.co/h0cWnmXF",None,null,"2012-03-06 01:20:04.113912"
176096352491683840,RichardDDragon,88063631,"2012-03-04 00:06:56+00:00","@KevinPlantz @AdrianneCurry when it comes to Santorum, I prefer the term 'Permanently Brain Damaged'",None,null,"2012-03-06 01:20:04.112603"
